City,Race,Gender,Class,Age,Education,Wage
Los Angeles,White,Female,Private,above 55,undergraduate,low
Los Angeles,White,Female,Private,26 to 35,undergraduate,medium
Los Angeles,White,Male,Private,26 to 35,undergraduate,medium
Los Angeles,White,Male,Private,46 to 55,undergraduate,medium
Los Angeles,White,Female,Government,46 to 55,undergraduate,medium
Los Angeles,White,Female,Government,16 to 25,undergraduate,low
Los Angeles,White,Female,Private,26 to 35,undergraduate,medium
Los Angeles,White,Male,Private,46 to 55,undergraduate,medium
Los Angeles,White,Male,Private,46 to 55,undergraduate,medium
Los Angeles,White,Female,Private,36 to 45,undergraduate,medium
Los Angeles,White,Male,Private,16 to 25,undergraduate,medium
Los Angeles,Black,Male,Private,26 to 35,undergraduate,medium
Los Angeles,Black,Male,Government,26 to 35,undergraduate,medium
Los Angeles,Black,Female,Private,26 to 35,undergraduate,medium
Los Angeles,Black,Male,Private,36 to 45,high school,medium
Los Angeles,Black,Female,Government,26 to 35,graduate,medium
Los Angeles,White,Male,Private,26 to 35,undergraduate,medium
Los Angeles,White,Male,Private,above 55,high school,medium
Los Angeles,White,Female,Private,above 55,undergraduate,low
Los Angeles,White,Male,Private,46 to 55,undergraduate,medium
Los Angeles,White,Female,Private,46 to 55,undergraduate,medium
Los Angeles,Black,Female,Private,46 to 55,undergraduate,low
Los Angeles,Black,Female,Private,16 to 25,undergraduate,low
